,source,target
138,Denmark,Sweden
139,Germany,Sweden
140,Germany,Netherlands
141,Luxembourg,Netherlands
142,Belgium,Luxembourg
143,Belgium,France
144,Denmark,Norway
145,Denmark,Sweden
146,Germany,Sweden
147,Germany,Netherlands
148,Luxembourg,Netherlands
149,Belgium,Luxembourg
150,Belgium,France
151,Denmark,Norway
152,Denmark,Sweden
153,Germany,Sweden
154,Germany,Netherlands
155,Luxembourg,Netherlands
156,Belgium,Luxembourg
157,Belgium,France
158,Luxembourg,Netherlands
159,Belgium,Luxembourg
160,Belgium,France
161,Belgium,France
162,France,Italy
163,France,Italy
164,France,Italy
165,Germany,Italy
166,France,Italy
167,Germany,Italy
168,France,Italy
169,Germany,Italy
170,Germany,Italy
171,Albania,Greece
172,Albania,Greece
173,Albania,Greece
174,Albania,Greece
175,Albania,Greece
176,Albania,Greece
177,Albania,Greece
178,Albania,Greece
179,Albania,Greece
180,Albania,Greece
181,Greece,Ukraine
182,Belarus,Ukraine
183,Albania,Greece
184,Albania,Greece
185,Greece,Ukraine
186,Belarus,Ukraine
187,Belarus,Ukraine
188,Belarus,Ukraine
189,Belarus,Libya
190,Egypt,Libya
191,Belarus,Ukraine
192,Belarus,Libya
193,Egypt,Libya
194,Egypt,Libya
195,Belarus,Ukraine
196,Belarus,Libya
197,Egypt,Libya
198,Egypt,Libya
199,Egypt,Libya
200,Egypt,Libya
201,Egypt,Libya
202,Egypt,Libya
203,Egypt,Libya
204,Egypt,Libya
205,Egypt,Iraq
206,Egypt,Libya
207,Egypt,Libya
208,Egypt,Libya
209,Egypt,Iraq
210,Egypt,Libya
211,Egypt,Iraq
212,Egypt,Iraq
213,Egypt,Iraq
214,Germany,Japan
215,Germany,Japan
216,Germany,Japan
217,Japan,Russia
218,Germany,Japan
219,Germany,Japan
220,Japan,Russia
221,Germany,Russia
222,Germany,Italy
223,Germany,Japan
224,Germany,Japan
225,Japan,Russia
226,Germany,Russia
227,Germany,Italy
228,Germany,Italy
229,Germany,Japan
230,Germany,Japan
231,Japan,Russia
232,Germany,Russia
233,Germany,Italy
234,Germany,Italy
235,Germany,Japan
236,Germany,Japan
237,Japan,Russia
238,Germany,Russia
239,Germany,Italy
240,Germany,Italy
241,Japan,Russia
242,Germany,Russia
243,Germany,Italy
244,Germany,Italy
245,Germany,Italy
246,Germany,Italy
247,Germany,Morocco
248,Algeria,Morocco
249,Germany,Morocco
250,Algeria,Morocco
251,Algeria,Italy
252,Algeria,Morocco
253,Algeria,Italy
254,Algeria,Morocco
255,Algeria,Italy
256,Algeria,Morocco
257,Algeria,Italy
258,Algeria,Morocco
259,Algeria,Italy
260,France,Germany
261,France,Germany
262,France,Germany
263,France,Germany
264,France,Germany
265,France,Germany
266,France,Germany
267,France,Poland
268,Germany,Poland
269,France,Poland
270,Germany,Poland
271,France,Poland
272,Germany,Poland
273,France,Poland
274,Germany,Poland
275,Germany,Poland
276,Germany,Poland
277,Germany,Japan
278,China,Japan
279,China,Japan
280,China,Japan
281,China,Japan
282,China,Japan
283,China,Japan
284,China,Japan
285,China,Japan
286,China,Japan
287,China,Japan
288,China,Japan
289,China,Japan
290,China,Japan
291,China,Japan
292,China,Japan
293,China,Japan
294,China,Japan
295,China,Japan
296,Germany,Japan
297,Germany,Japan
298,China,Japan
299,China,Japan
300,Germany,Japan
301,Germany,Japan
302,China,Japan
303,China,Japan
304,Germany,Japan
305,Germany,Japan
306,Japan,Thailand
307,Singapore,Thailand
308,Germany,Japan
309,Germany,Japan
310,Japan,Thailand
311,Singapore,Thailand
312,Japan,Singapore
313,Germany,Japan
314,Germany,Japan
315,Japan,Thailand
316,Singapore,Thailand
317,Japan,Singapore
318,Japan,Philippines
319,Japan,Philippines
320,Germany,Japan
321,Germany,Japan
322,Japan,Thailand
323,Singapore,Thailand
324,Japan,Singapore
325,Japan,Philippines
326,Japan,Philippines
327,Japan,Thailand
328,Singapore,Thailand
329,Japan,Singapore
330,Japan,Philippines
331,Japan,Philippines
332,Japan,Thailand
333,Singapore,Thailand
334,Japan,Singapore
335,Japan,Philippines
336,Japan,Philippines
337,Japan,Solomon Islands
338,Japan,Solomon Islands
339,Japan,Philippines
340,Japan,Philippines
341,Japan,Solomon Islands
342,Japan,Solomon Islands
343,Japan,Philippines
344,Japan,Solomon Islands
345,Japan,Solomon Islands
346,India,Japan
347,India,Japan
348,Japan,Solomon Islands
349,India,Japan
350,India,Japan
351,Japan,Solomon Islands
352,India,Japan
353,India,Japan
354,Japan,Solomon Islands
355,India,Japan
356,India,Japan
357,India,Japan
358,India,Japan
359,China,Japan
360,India,Japan
361,India,Japan
362,China,Japan
363,China,Japan
364,China,Japan
365,China,Japan
366,China,Japan
367,China,Japan
368,China,Japan
369,Japan,Russia
370,France,Russia
371,China,France
372,China,India
373,India,Pakistan
374,Israel,Pakistan
375,Israel,South Africa
376,Israel,South Africa
377,Israel,Libya
378,Iran,Libya
379,Japan,Russia
380,France,Russia
381,China,France
382,China,India
383,India,Pakistan
384,Israel,Pakistan
385,Israel,South Africa
386,Israel,South Africa
387,Israel,Libya
388,Iran,Libya
389,France,Russia
390,China,France
391,China,India
392,India,Pakistan
393,Israel,Pakistan
394,Israel,South Africa
395,Israel,South Africa
396,Israel,Libya
397,Iran,Libya
398,Germany,Iran
399,France,Germany
400,France,Russia
401,China,France
402,China,India
403,India,Pakistan
404,Israel,Pakistan
405,Israel,South Africa
406,Israel,South Africa
407,Israel,Libya
408,Iran,Libya
409,Germany,Iran
410,France,Germany
411,France,Russia
412,China,France
413,China,India
414,India,Pakistan
415,Israel,Pakistan
416,Israel,South Africa
417,Israel,South Africa
418,Israel,Libya
419,Iran,Libya
420,Germany,Iran
421,France,Germany
422,France,Japan
423,France,Russia
424,China,France
425,China,India
426,India,Pakistan
427,Israel,Pakistan
428,Israel,South Africa
429,Israel,South Africa
430,Israel,Libya
431,Iran,Libya
432,Germany,Iran
433,France,Germany
434,France,Japan
435,France,Germany
436,France,Japan
437,France,Germany
438,France,Japan
439,India,Papua New Guinea
440,India,Papua New Guinea
441,India,Pakistan
442,India,Papua New Guinea
443,India,Pakistan
444,Pakistan,Philippines
445,India,Pakistan
446,Pakistan,Philippines
447,Laos,Philippines
448,Cambodia,Laos
449,Cambodia,Kenya
450,Ghana,Kenya
451,India,Pakistan
452,Pakistan,Philippines
453,Laos,Philippines
454,Cambodia,Laos
455,Cambodia,Kenya
456,Ghana,Kenya
457,Ghana,Seychelles
458,India,Pakistan
459,Pakistan,Philippines
460,Laos,Philippines
461,Cambodia,Laos
462,Cambodia,Kenya
463,Ghana,Kenya
464,Ghana,Seychelles
465,India,Pakistan
466,Pakistan,Philippines
467,Laos,Philippines
468,Cambodia,Laos
469,Cambodia,Kenya
470,Ghana,Kenya
471,Ghana,Seychelles
472,Laos,Philippines
473,Cambodia,Laos
474,Cambodia,Kenya
475,Ghana,Kenya
476,Ghana,Seychelles
477,Cambodia,Laos
478,Cambodia,Kenya
479,Ghana,Kenya
480,Ghana,Seychelles
481,Estonia,Lithuania
482,Finland,Lithuania
483,Finland,Romania
484,Estonia,Lithuania
485,Finland,Lithuania
486,Finland,Romania
487,Albania,Romania
488,Albania,Bulgaria
489,Bulgaria,Poland
490,Poland,Romania
491,Hungary,Romania
492,Estonia,Lithuania
493,Finland,Lithuania
494,Finland,Romania
495,Albania,Romania
496,Albania,Bulgaria
497,Bulgaria,Poland
498,Poland,Romania
499,Hungary,Romania
500,Hungary,Mongolia
501,China,Mongolia
502,China,North Korea
503,Cuba,North Korea
504,Estonia,Lithuania
505,Finland,Lithuania
506,Finland,Romania
507,Albania,Romania
508,Albania,Bulgaria
509,Bulgaria,Poland
510,Poland,Romania
511,Hungary,Romania
512,Hungary,Mongolia
513,China,Mongolia
514,China,North Korea
515,Cuba,North Korea
516,Estonia,Lithuania
517,Finland,Lithuania
518,Finland,Romania
519,Albania,Romania
520,Albania,Bulgaria
521,Bulgaria,Poland
522,Poland,Romania
523,Hungary,Romania
524,Hungary,Mongolia
525,China,Mongolia
526,China,North Korea
527,Cuba,North Korea
528,Cuba,North Korea
529,North Korea,United States
530,South Korea,United States
531,Estonia,Lithuania
532,Finland,Lithuania
533,Finland,Romania
534,Albania,Romania
535,Albania,Bulgaria
536,Bulgaria,Poland
537,Poland,Romania
538,Hungary,Romania
539,Hungary,Mongolia
540,China,Mongolia
541,China,North Korea
542,Cuba,North Korea
543,Cuba,North Korea
544,North Korea,United States
545,South Korea,United States
546,Albania,Bulgaria
547,Bulgaria,Poland
548,Poland,Romania
549,Hungary,Romania
550,Hungary,Mongolia
551,China,Mongolia
552,China,North Korea
553,Cuba,North Korea
554,Cuba,North Korea
555,North Korea,United States
556,South Korea,United States
557,Canada,South Korea
558,Australia,Canada
559,China,Mongolia
560,China,North Korea
561,Cuba,North Korea
562,Cuba,North Korea
563,North Korea,United States
564,South Korea,United States
565,Canada,South Korea
566,Australia,Canada
567,North Korea,United States
568,South Korea,United States
569,Canada,South Korea
570,Australia,Canada
571,Australia,Vietnam
572,North Korea,United States
573,South Korea,United States
574,Canada,South Korea
575,Australia,Canada
576,Australia,Vietnam
577,Canada,South Korea
578,Australia,Canada
579,Australia,Vietnam
580,Canada,South Korea
581,Australia,Canada
582,Australia,Vietnam
583,Cambodia,Vietnam
584,Cambodia,Vietnam
585,Cuba,Vietnam
586,Cambodia,Vietnam
587,Cuba,Vietnam
588,Cambodia,Vietnam
589,Cuba,Vietnam
590,Cambodia,Vietnam
591,Cuba,Vietnam
592,Cuba,United States
593,Cuba,Vietnam
594,Cuba,United States
595,Cuba,United States
596,Russia,United States
597,Japan,Russia
598,Japan,Russia
599,Japan,Russia
600,Japan,Russia
601,Japan,Russia
602,Japan,Russia
603,Japan,Russia
604,Japan,Russia
605,China,India
606,China,India
607,China,India
608,China,India
609,China,India
610,China,India
611,India,South Africa
612,Rwanda,South Africa
613,Rwanda,South Africa
614,Rwanda,South Africa
615,Rwanda,South Africa
616,Rwanda,South Africa
617,North Korea,Rwanda
618,North Korea,Rwanda
619,Finland,Germany
620,Finland,Germany
621,Finland,Germany
622,Finland,Germany
623,Finland,Germany
624,Finland,Germany
625,Germany,Norway
626,Germany,Norway
627,Germany,Norway
628,Germany,Norway
629,Germany,Norway
630,Germany,Norway
631,Greece,Italy
632,Greece,Italy
633,Greece,Italy
634,Italy,Japan
635,Italy,Japan
636,Italy,Japan
637,Italy,Japan
638,Italy,Japan
639,Italy,Japan
640,India,Pakistan
641,India,Pakistan
642,India,Pakistan
643,Romania,Russia
644,Romania,Russia
645,Romania,Russia
646,Romania,Russia
647,Romania,Russia
648,Romania,Russia
649,India,Lebanon
650,India,Lebanon
651,India,Singapore
652,India,Singapore
653,India,Singapore
654,India,Singapore
655,India,Singapore
